ACTUAL TIME (ms),TIME INTERVAL (ms),Accel X,Accel Y,label
11669,4,0.5540924,4.4196014,0
854,0,-3.1012573,3.5764618,0
1240,4,-0.13142395,4.8753204,0
6666,9,0.43185425,5.0150146,0
11632,6,0.44737244,4.3457794,0
11958,8,0.27140808,4.294037,0
6806,4,0.29345703,4.902725,0
414,11,-3.004837,2.6263733,0
5446,4,0.14874268,5.0345306,0
7149,7,0.38510132,4.7463684,0
8486,5,-0.47836304,4.487488,0
,178,-0.2,-0.2,1
9641,7,0.6092682,4.5954285,0
11563,3,0.5359192,4.4527435,0
2295,5,-1.2978516,5.1207275,0
3810,4,-0.4072113,4.7858124,0
4564,5,-0.12361145,5.214096,0
6080,5,0.3425598,4.8604736,0
6802,6,0.42668152,4.999008,0
7012,8,0.3193817,4.7184906,0
5599,8,0.299469,4.826233,0
3458,8,-0.35906982,4.8765106,0
3962,8,-0.31344604,4.825836,0
4873,0,-0.18455505,5.0487823,0
7744,9,0.4738617,3.0469666,0
7665,2,0.4459076,2.8180847,0
,130,0,0,1
11326,5,0.4578247,4.352188,0
3849,4,-0.38067627,4.8140564,0
536,2,-3.0073242,3.727295,0
2787,5,-0.552948,4.651291,0
6024,3,0.6134186,5.1299133,0
8005,8,0.6716461,3.175537,0
9275,8,0.47885132,4.4452057,0
5970,4,0.23483276,4.6869507,0
10118,3,0.60113525,4.6825867,0
3021,8,-0.44311523,4.7904816,0
6134,4,0.30613708,4.819565,0
10450,3,0.62734985,4.7325287,0
7189,5,0.2922821,4.6466675,0
3748,4,-0.31326294,4.8903046,0
8267,8,0.47750854,4.4107513,0
11614,4,0.4174652,4.372711,0
5220,3,-0.14129639,4.783142,0
10364,3,0.5258179,4.65036,0
3579,7,-0.39356995,4.8844147,0
11285,4,0.5458069,4.4092407,0
,10,0,4.5,1
11802,6,0.47099304,4.4502106,0
7283,0,0.11810303,4.6464386,0
8032,4,0.6561279,3.2107544,0
7341,8,0.099853516,4.5606384,0
1647,2,-2.094223,5.660034,0
2505,3,-0.65571594,5.0305176,0
7380,4,0.5388794,4.7065277,0
,190,0,-1.5,1
6266,3,0.25317383,4.866913,0
4399,7,0.15437317,5.1465607,0
266,8,-3.1301575,2.5359344,0
7285,0,-0.22653198,4.6286774,0
12567,8,0.6088257,4.460434,0
1878,0,-1.3305817,5.4362946,0
4282,3,0.14222717,5.1063538,0
23,8,-3.6894379,1.8382721,0
7676,0,0.4000244,2.8853455,0
2782,3,-0.53515625,4.638138,0
10743,4,0.98709106,4.767639,0
3033,4,-0.457489,4.8056946,0
11229,9,0.62268066,4.5233154,0
5052,4,0.33203125,5.1135406,0
3903,4,-0.3883667,4.775955,0
3099,4,-0.44206238,4.7626495,0
4193,4,0.15872192,5.0750885,0
8990,4,0.31637573,4.331909,0
905,0,-1.9891968,3.5876007,0
8900,0,0.4772644,4.4599304,0
5766,4,0.51875305,5.0848083,0
1978,1,-1.2601776,5.2302246,0
4820,1,0.19172668,5.1122284,0
9286,1,0.42408752,4.4599304,0
6142,8,0.29318237,4.8071594,0
7629,4,0.49339294,3.2281036,0
3111,8,-0.48184204,4.714279,0
11006,4,0.45355225,4.463852,0
8618,0,0.57595825,4.5575714,0
9388,4,0.42156982,4.4455566,0
2364,3,-1.2097626,5.058319,0
375,8,-3.147461,2.4757996,0
8165,4,0.8227234,4.293701,0
6594,2,0.58026123,5.020172,0
8063,3,0.47077942,3.1506195,0
6993,7,0.3138275,4.712326,0
285,8,-2.78331,3.5825195,0
6542,10,0.37245178,4.8916626,0
8396,8,0.38163757,4.388092,0
5923,3,0.21438599,4.823593,0
12216,0,0.5281372,4.481476,0
7876,4,0.78845215,3.3123932,0
595,4,-3.413742,4.0587006,0
332,4,-2.963211,3.1234436,0
9192,4,0.3425598,4.4457855,0
1580,17,-2.1959076,5.3181763,0
10774,7,0.69828796,4.6686096,0
11950,2,0.28211975,4.3019104,0
7508,4,0.88926697,4.496109,0
4368,4,0.2597351,5.2389984,0
4642,8,0.81225586,6.0789337,0
11091,3,0.4359436,4.3182983,0
9075,0,0.28559875,4.279846,0
2450,3,-1.0366364,4.924347,0
7157,4,0.35075378,4.711319,0
3185,3,-0.44311523,4.815262,0
2521,4,-0.8014374,4.940201,0
1078,0,-1.246109,3.9245453,0
435,3,-3.4965363,2.459961,0
,148,1.4,1.8,1
11319,6,0.45573425,4.3719788,0
769,11,-3.7902222,5.1566315,0
4818,0,0.60317993,5.325943,0
7454,4,0.8668823,4.7855377,0
11930,6,0.34457397,4.3639526,0
10259,4,0.8740845,4.6897736,0
4579,3,0.09260559,5.0302124,0
6688,4,0.24685669,5.028183,0
1931,0,-1.247757,5.2641907,0
3970,4,-0.31834412,4.807358,0
905,0,-2.17807,3.2627869,0
1171,16,-0.8309784,4.4541016,0
11827,5,0.45114136,4.384918,0
6061,5,0.4701538,5.02565,0
4914,0,-0.3254547,4.929535,0
10455,5,0.64334106,4.7265625,0
11966,4,0.30192566,4.273178,0
11271,0,0.59046936,4.4423065,0
12435,4,0.5404968,4.4926605,0
1534,4,-1.0393982,5.4042053,0
10227,4,0.8143616,4.6897736,0
,234,-0.2,-0.2,1
638,8,-2.7001343,4.56131,0
3478,4,-0.39064026,4.841156,0
4403,4,0.13459778,5.135086,0
,230,0,-1.5,1
6407,4,0.2707367,4.8124847,0
10862,10,0.17167664,4.288025,0
10068,4,0.63438416,4.6228485,0
,18,-3.8,-0.2,1
3672,2,-0.3796692,4.7963104,0
1032,1,-1.1876221,4.027298,0
8450,4,1.1714172,5.153778,0
9536,8,0.7080841,4.60997,0
2837,4,-0.5652313,4.6940002,0
3618,1,-0.4043274,4.8104706,0
7625,0,0.45635986,3.2759094,0
,220,0,-1.5,1
9224,9,0.4206543,4.3889923,0
10273,3,0.85365295,4.676529,0
9880,3,0.7446289,4.696945,0
,184,-0.2,0.2,1
8350,0,0.49102783,4.2229004,0
12235,6,0.4862213,4.431198,0
5103,3,0.26361084,5.211731,0
988,0,-2.0631866,3.8395538,0
10525,4,0.7021332,4.78302,0
3283,8,-0.31394958,4.8836975,0
5259,4,-0.21061707,4.8137054,0
10115,8,0.59594727,4.6773834,0
10713,5,0.8130188,4.7023315,0
11411,4,0.32440186,4.3646393,0
11603,3,0.42156982,4.3819733,0
9130,4,0.3072052,4.3864136,0
9888,8,0.7467804,4.680588,0
4235,4,0.10635376,5.0196075,0
4243,8,0.094955444,5.0556793,0
199,8,-3.4747467,3.315979,0
10204,4,0.66571045,4.6754,0
2168,7,-1.2321014,5.100296,0
9703,7,0.6412811,4.632309,0
1777,20,-1.4525299,5.2496643,0
8043,3,0.647995,3.1815186,0
5100,5,0.28689575,5.234741,0
,40,-12.2,4.2,1
8348,0,0.30322266,4.1260986,0
